epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,549.041,1.09609,0.74448,1.17709,0.95049,0.99483,0.99321,0.6992,1.062,0.49987,1.19048,0.0082378,0.0082378,0.0082378
91,554.942,1.13102,0.76212,1.2091,0.97864,0.98474,0.99461,0.68742,1.10713,0.51431,1.21958,0.008218,0.008218,0.008218
92,560.346,1.0916,0.74537,1.18479,0.9545,0.94479,0.99274,0.61618,1.3162,0.61155,1.34985,0.0081982,0.0081982,0.0081982
93,567.284,1.09357,0.72036,1.16042,0.97998,0.98934,0.99491,0.67948,1.14228,0.50546,1.23873,0.0081784,0.0081784,0.0081784
94,572.534,1.11658,0.74308,1.19324,0.98795,0.99508,0.99496,0.71764,1.00179,0.47264,1.15194,0.0081586,0.0081586,0.0081586
95,579.419,1.09781,0.73939,1.19541,0.98836,0.99692,0.99497,0.71245,1.04151,0.4723,1.19147,0.0081388,0.0081388,0.0081388
96,584.64,1.07696,0.71165,1.15605,0.97586,0.98388,0.9949,0.73217,1.00053,0.47754,1.15985,0.008119,0.008119,0.008119
97,590.045,1.08191,0.74175,1.19385,0.94867,0.98712,0.99442,0.73164,0.99361,0.49326,1.15915,0.0080992,0.0080992,0.0080992
98,596.63,1.08085,0.71982,1.16332,0.97469,0.98722,0.99446,0.67999,1.1813,0.52372,1.2706,0.0080794,0.0080794,0.0080794
99,602.265,1.09459,0.71195,1.17143,0.98247,0.99656,0.99486,0.72023,1.05168,0.49241,1.18664,0.0080596,0.0080596,0.0080596
100,609.217,1.06911,0.72238,1.18774,0.98869,0.97425,0.99499,0.68556,1.14687,0.51628,1.24887,0.0080398,0.0080398,0.0080398
101,614.448,1.06762,0.71023,1.17059,0.9805,0.99048,0.99432,0.72902,1.03934,0.47753,1.17228,0.00802,0.00802,0.00802
102,621.201,1.06413,0.71832,1.16786,0.99017,0.99355,0.99497,0.75693,0.94121,0.46121,1.12871,0.0080002,0.0080002,0.0080002
103,626.734,1.04642,0.68153,1.1769,0.99295,0.99516,0.99499,0.76068,0.91869,0.43863,1.11608,0.0079804,0.0079804,0.0079804
104,632.486,1.05618,0.68991,1.1762,0.99231,0.99851,0.995,0.76277,0.92169,0.45115,1.11431,0.0079606,0.0079606,0.0079606
105,638.677,1.04698,0.69576,1.15488,0.99099,0.99572,0.9945,0.75726,0.92721,0.45369,1.12865,0.0079408,0.0079408,0.0079408
106,644.011,1.02859,0.70112,1.15456,0.9896,0.99814,0.99489,0.76178,0.92149,0.44589,1.11801,0.007921,0.007921,0.007921
107,650.892,1.05039,0.70011,1.16609,0.98939,0.99984,0.99496,0.75565,0.9513,0.44528,1.13162,0.0079012,0.0079012,0.0079012
108,656.098,1.05045,0.67856,1.16735,0.99704,0.99885,0.995,0.74833,0.96868,0.44104,1.13943,0.0078814,0.0078814,0.0078814
109,662.127,1.05348,0.72947,1.17369,0.98615,0.99439,0.99487,0.7241,1.05633,0.46839,1.20337,0.0078616,0.0078616,0.0078616
110,668.174,1.03064,0.65721,1.14434,0.99212,0.9966,0.99499,0.74049,0.98729,0.4534,1.15145,0.0078418,0.0078418,0.0078418
111,673.514,1.04215,0.69463,1.16176,0.98942,0.99633,0.99497,0.74291,0.94442,0.45266,1.12781,0.007822,0.007822,0.007822
112,680.406,1.02467,0.67997,1.14366,0.99525,0.99902,0.995,0.76082,0.91675,0.43149,1.11582,0.0078022,0.0078022,0.0078022
113,685.638,1.04297,0.68831,1.16527,0.9925,0.99813,0.99496,0.74056,0.95989,0.45068,1.13249,0.0077824,0.0077824,0.0077824
114,692.376,1.03125,0.66644,1.14978,0.99322,0.99572,0.99472,0.76677,0.87208,0.42672,1.08534,0.0077626,0.0077626,0.0077626
115,697.764,0.99969,0.67862,1.15152,0.98901,0.99883,0.99491,0.73861,0.95039,0.44304,1.12172,0.0077428,0.0077428,0.0077428
116,703.509,1.02665,0.69687,1.14547,0.98525,0.99334,0.99487,0.73513,0.952,0.44089,1.13627,0.007723,0.007723,0.007723
117,709.857,1.03222,0.69489,1.1719,0.98787,0.99253,0.99439,0.76651,0.90731,0.44878,1.09963,0.0077032,0.0077032,0.0077032
118,715.078,1.0316,0.67068,1.1542,0.98172,0.99806,0.99388,0.74978,0.95267,0.44955,1.13229,0.0076834,0.0076834,0.0076834
119,721.95,1.0189,0.67883,1.15011,0.97982,0.99735,0.99375,0.73912,0.97095,0.45802,1.13669,0.0076636,0.0076636,0.0076636
120,727.779,1.00589,0.66791,1.13367,0.98325,0.99181,0.99467,0.71623,1.02266,0.47079,1.15887,0.0076438,0.0076438,0.0076438
121,734.325,0.99294,0.66114,1.13096,0.9865,0.98911,0.99489,0.75544,0.90444,0.44493,1.09818,0.007624,0.007624,0.007624
122,739.657,0.95652,0.664,1.13199,0.9913,0.99486,0.99496,0.77102,0.84913,0.42398,1.07084,0.0076042,0.0076042,0.0076042
123,744.988,0.99983,0.68379,1.14216,0.99241,0.99961,0.99497,0.76021,0.87007,0.42621,1.07638,0.0075844,0.0075844,0.0075844
124,751.633,0.99374,0.66524,1.14067,0.98636,0.9938,0.99489,0.73328,0.98205,0.45157,1.14253,0.0075646,0.0075646,0.0075646
125,756.736,0.99224,0.64591,1.13872,0.99082,0.99377,0.99439,0.73593,0.93363,0.43884,1.11325,0.0075448,0.0075448,0.0075448
126,763.5,0.97287,0.63388,1.13241,0.99255,0.99603,0.99478,0.7493,0.93083,0.44374,1.11418,0.007525,0.007525,0.007525
127,768.866,0.97624,0.65378,1.12156,0.98507,0.99799,0.99498,0.76308,0.90013,0.42746,1.10518,0.0075052,0.0075052,0.0075052
128,774.91,0.98506,0.67933,1.13336,0.9909,0.99599,0.995,0.78295,0.84364,0.4208,1.06729,0.0074854,0.0074854,0.0074854
129,780.917,0.99708,0.65374,1.12679,0.98867,0.99678,0.9943,0.73406,0.95144,0.44793,1.13186,0.0074656,0.0074656,0.0074656
130,786.187,0.98668,0.65209,1.14968,0.98161,0.96895,0.99405,0.65801,1.20004,0.53578,1.30346,0.0074458,0.0074458,0.0074458
131,793.119,0.97883,0.64434,1.12975,0.97754,0.98595,0.99195,0.74072,0.95338,0.46369,1.131,0.007426,0.007426,0.007426
132,798.44,0.96972,0.67173,1.1342,0.99169,0.99726,0.99428,0.78178,0.8604,0.42256,1.07275,0.0074062,0.0074062,0.0074062
133,805.126,0.97154,0.65016,1.12992,0.98507,0.99521,0.99499,0.79504,0.82511,0.414,1.05545,0.0073864,0.0073864,0.0073864
134,810.36,0.96125,0.64175,1.11158,0.98851,0.99666,0.995,0.79124,0.83525,0.40849,1.05906,0.0073666,0.0073666,0.0073666
135,816.849,0.98213,0.6827,1.1521,0.99358,0.99748,0.995,0.73232,0.9898,0.43672,1.14819,0.0073468,0.0073468,0.0073468
136,822.975,1.0002,0.64823,1.13317,0.99031,0.99586,0.99496,0.69963,1.11776,0.46708,1.24422,0.007327,0.007327,0.007327
137,828.541,0.97965,0.68064,1.15149,0.99106,0.99755,0.995,0.77621,0.87448,0.41527,1.07586,0.0073072,0.0073072,0.0073072
138,835.603,0.93993,0.64163,1.09663,0.99015,0.99818,0.995,0.76723,0.88826,0.41875,1.08215,0.0072874,0.0072874,0.0072874
139,841.053,0.99874,0.66144,1.14256,0.99525,0.99631,0.99499,0.75274,0.90813,0.42171,1.0915,0.0072676,0.0072676,0.0072676
140,848.246,0.94131,0.62068,1.09804,0.9936,0.9972,0.99476,0.76601,0.90149,0.41704,1.09491,0.0072478,0.0072478,0.0072478
141,853.787,0.94976,0.6209,1.09607,0.99451,0.99699,0.99473,0.78767,0.849,0.41452,1.07184,0.007228,0.007228,0.007228
142,860.597,0.96458,0.66089,1.13136,0.99286,0.99804,0.99495,0.78378,0.84021,0.40233,1.07196,0.0072082,0.0072082,0.0072082
143,866.234,0.9362,0.63427,1.11002,0.99203,0.99671,0.995,0.77969,0.85366,0.40066,1.07859,0.0071884,0.0071884,0.0071884
144,872.356,0.95491,0.61866,1.08831,0.98924,0.99194,0.9949,0.76639,0.89212,0.41608,1.11169,0.0071686,0.0071686,0.0071686
145,878.66,0.96439,0.64028,1.12947,0.9859,0.98799,0.99472,0.75384,0.96191,0.44691,1.14991,0.0071488,0.0071488,0.0071488
146,884.081,0.94104,0.60478,1.10003,0.99337,0.99202,0.99499,0.77509,0.88033,0.41578,1.09183,0.007129,0.007129,0.007129
147,891.131,0.95093,0.62355,1.12498,0.98995,0.99918,0.995,0.77212,0.87492,0.41656,1.08788,0.0071092,0.0071092,0.0071092
148,896.536,0.92757,0.60759,1.10233,0.99027,0.99921,0.995,0.78819,0.80526,0.39434,1.04626,0.0070894,0.0070894,0.0070894
149,903.578,0.95403,0.63664,1.10003,0.99094,0.99737,0.995,0.76129,0.90295,0.42377,1.10557,0.0070696,0.0070696,0.0070696
150,909.015,0.93522,0.62858,1.11415,0.97792,0.99481,0.99477,0.72253,1.0312,0.45751,1.17929,0.0070498,0.0070498,0.0070498
151,914.729,0.95482,0.62529,1.13931,0.994,0.993,0.995,0.79737,0.79368,0.39385,1.03098,0.00703,0.00703,0.00703
